2025-10-22_10-41: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-22_11-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-22_16-36: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-22_19-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-22_23-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-23_03-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-23_15-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-23_20-29: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-24_00-31: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-24_07-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
2025-10-24_11-00: Backup generado de Examen1P, Asistencias y Trabajo_en_clase
